16,16,2,

00,06,12,06,12,06,06,12,06,24,-1,00,06,18,24,-1,
01,10,07,13,13,13,13,13,19,25,-1,01,07,17,29,-1,
01,10,08,14,14,14,14,14,20,25,-1,01,28,-1,-1,-1,
01,10,08,14,14,14,14,14,20,25,-1,05,29,-1,-1,-1,
01,10,08,14,14,14,14,14,20,25,-1,-1,-1,-1,-1,-1,
01,10,08,14,14,14,14,14,20,25,-1,00,12,06,24,-1,
01,10,08,14,14,14,14,14,20,25,-1,02,10,10,25,-1,
01,10,08,14,14,14,14,14,20,25,-1,03,10,10,27,-1,
01,10,09,15,15,15,15,15,21,25,-1,04,10,10,28,-1,
01,10,10,10,07,19,10,10,10,26,-1,05,17,11,29,-1,
01,10,10,10,25,03,10,10,10,26,-1,-1,-1,-1,-1,-1,
01,10,10,10,28,04,10,10,10,26,-1,-1,-1,-1,-1,-1,
05,11,17,11,29,05,11,17,11,29,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,00,24,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,05,29,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,

-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,00,06,12,06,12,06,24,-1,-1,-1,
-1,-1,-1,-1,-1,-1,01,10,10,10,10,10,25,-1,-1,-1,
-1,-1,-1,-1,-1,-1,01,10,10,10,10,10,25,-1,-1,-1,
-1,-1,-1,-1,-1,-1,01,10,10,10,10,10,25,-1,-1,-1,
-1,-1,-1,-1,-1,-1,01,10,10,10,10,10,25,-1,-1,-1,
-1,-1,-1,-1,-1,-1,01,10,10,10,10,10,25,-1,-1,-1,
-1,-1,-1,-1,-1,-1,05,11,17,11,17,11,29,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,

